구,법정동,공원명,공원구분,소재지지번주소,위도,경도,공원면적,공원면적분류
광진구,구의동,목련공원,어린이공원,서울특별시 광진구 구의동 223-4,37.54064005,127.0906545,989,1183
광진구,구의동,푸른동산공원,어린이공원,서울특별시 광진구 구의동 227-13,37.5429034,127.0911933,933,1183
광진구,구의동,명성공원,어린이공원,서울특별시 광진구 구의동 249-25,37.541424,127.0867221,548,766
광진구,구의동,구의공원,어린이공원,서울특별시 광진구 구의동 546-2,37.53650324,127.0947414,10464,9000000
광진구,구의동,산마루공원,어린이공원,서울특별시 광진구 구의동 560-5,37.5550475,127.08634,917,1183
광진구,구의동,구의가로휴식소공원,소공원,서울특별시 광진구 구의동 589-4,37.53641296,127.0933277,95,766
광진구,구의동,장미공원,어린이공원,서울특별시 광진구 구의동 590-2,37.5362728,127.0901418,986,1183
광진구,구의동,구둘공원,어린이공원,서울특별시 광진구 구의동 60-8,37.5481208,127.0921708,788,1183
광진구,구의동,홍련산의소공원,소공원,서울특별시 광진구 구의동 668-5,37.54613706,127.0886173,1291,2400
광진구,군자동,군자공원,어린이공원,서울특별시 광진구 군자동 115-1,37.55456506,127.0728509,642,766
광진구,군자동,남일공원,어린이공원,서울특별시 광진구 군자동 159-1,37.5559474,127.0736903,238,766
광진구,능동,능동소공원,소공원,서울특별시 광진구 능동 242-26,37.55243686,127.082877,1062,1183
광진구,능동,능동정자마당소공원,소공원,서울특별시 광진구 능동 369-12,37.55343589,127.0793355,1518,2400
광진구,자양동,성화공원,어린이공원,서울특별시 광진구 자양동 199-4,37.53620746,127.061859,253,766
광진구,자양동,자양12지구소공원(가칭),소공원,서울특별시 광진구 자양동 510-38,37.53692,127.06896,310,766
광진구,자양동,약초원소공원,소공원,서울특별시 광진구 자양동 553-22,37.53498194,127.0679085,1337,2400
광진구,자양동,노유산공원,어린이공원,서울특별시 광진구 자양동 5-7,37.5391102,127.0685096,993,1183
광진구,자양동,동자공원,어린이공원,서울특별시 광진구 자양동 582-19,37.5318659,127.0742753,985,1183
광진구,자양동,정말공원,어린이공원,서울특별시 광진구 자양동 619-20,37.53316616,127.0781758,989,1183
광진구,자양동,자마장공원,어린이공원,서울특별시 광진구 자양동 630,37.53444854,127.0821916,998,1183
광진구,자양동,금모래공원,어린이공원,서울특별시 광진구 자양동 651-50,37.53030963,127.0825402,1022,1183
광진구,자양동,언덕배기공원,어린이공원,서울특별시 광진구 자양동 686-52,37.53214981,127.0879487,800,1183
광진구,자양동,양마장공원,어린이공원,서울특별시 광진구 자양동 689-6,37.5308707,127.0887271,1113,1183
광진구,자양동,약초원공원,어린이공원,서울특별시 광진구 자양동 74-21,37.532914,127.0664003,826,1183
광진구,자양동,자양공원,어린이공원,서울특별시 광진구 자양동 792-1,37.5335548,127.0698629,494,766
광진구,자양동,장독골공원,어린이공원,서울특별시 광진구 자양동 804-10,37.5356422,127.0778292,997,1183
광진구,자양동,뚝섬유원지역쉼터소공원,소공원,서울특별시 광진구 자양동 854-1,37.53189643,127.0673192,802,1183
