구,법정동,상세업무구분명,사업장명,위도,경도
강동구,상일동,동물병원,Dr.베토벤동물병원,37.55077172,127.168882
영등포구,여의도,애견미용,Dr.수 동물병원,37.52147486,126.9296135
은평구,대조동,동물병원,Dr.윤24시동물병원,37.61654674,126.9202841
강동구,둔촌동,동물병원,Dr.주 동물병원,37.52883405,127.1343043
관악구,신림동,동물병원,DS동물병원,37.4803434,126.9011576
마포구,상암동,애견미용,Fall in Love (폴인럽),37.58168456,126.8830731
서대문구,연희동,펫호텔,GAEKOS Family,37.56935808,126.9272262
강동구,상일동,동물병원,GD동물병원,37.54825575,127.1702137
강북구,수유동,펫호텔,GOLDEN DOG.S(골든독스),37.63683831,127.0204299
마포구,망원동,애견미용,Groomer Ameri,37.55549344,126.9069488
강북구,미아동,동물병원,H 동물병원,37.61794947,127.0160493
서대문구,북가좌,애견미용,Hello,37.57264893,126.9076607
서초구,방배동,동물병원,HELP 유기동물 의료센터,37.48716383,126.9877911
은평구,갈현동,애견미용,hola(올라),37.61572035,126.9057629
은평구,응암동,애견미용,honapet(호나펫),37.59346943,126.9187615
서초구,반포동,애견미용,I'm,37.49377251,126.9987972
서초구,반포동,펫호텔,Im(아이엠),37.49377251,126.9987972
중랑구,상봉동,애견미용,i꾸러미,37.60309646,127.0841372
강남구,논현동,펫호텔,Kindergarten for dog,37.50654373,127.02407
강남구,청담동,애견미용,KNOLLO(놀로),37.51944081,127.04614
강남구,신사동,애견미용,La Bellamoff(라 벨라모프),37.52113486,127.0179242
서초구,방배동,애견미용,LAONHAJE(라온하제),37.49777317,126.9880153
은평구,응암동,애견미용,Love My Pet 동물병원,37.60104403,126.9278472
은평구,응암동,동물병원,LOVE MY PET 동물병원,37.60104403,126.9278472
노원구,월계동,애견미용,LWS,37.62734055,127.058968
송파구,잠실동,애견미용,mm애견공방,37.5053731,127.0823898
도봉구,창동,펫택시,MOMO,37.6343025,127.0394676
서대문구,홍제동,펫호텔,mummui(멈무이),37.59697235,126.9444083
관악구,봉천동,애견미용,oh my dog(오마이독),37.48654619,126.9556309
금천구,독산동,애견미용,omokjomok(오목조목),37.47511831,126.8995071
강서구,화곡동,펫호텔,OMW dog's cafe,37.54200951,126.8397232
광진구,중곡동,애견미용,Onene(오네네),37.56290161,127.0838699
구로구,개봉동,펫택시,pet 06부4878,37.48771474,126.8513146
구로구,구로동,펫택시,pet 08어9943,37.48429693,126.8963693
관악구,신림동,펫택시,pet 11어9454,37.45910903,126.9171488
구로구,오류동,펫택시,pet 128무3810,37.49501652,126.8369878
